emoji,fr_signification,unicode,en_signification
👩🏼‍⚕️, femme teint moyen-léger agent de santé ,\U0001f469\U0001f3fc\u200d\u2695\ufe0f,woman health worker medium-light skin tone
👩🏽‍⚕️, femme teint moyen des travailleurs de la santé ,\U0001f469\U0001f3fd\u200d\u2695\ufe0f,woman health worker medium skin tone
🧘‍♀️, femme en position de lotus ,\U0001f9d8\u200d\u2640\ufe0f,woman in lotus position
🧘🏿‍♀️, femme en position de lotus teint foncé ,\U0001f9d8\U0001f3ff\u200d\u2640\ufe0f,woman in lotus position dark skin tone
🧘🏻‍♀️, femme en position de lotus teint clair ,\U0001f9d8\U0001f3fb\u200d\u2640\ufe0f,woman in lotus position light skin tone
🧘🏾‍♀️, femme teint moyen foncé position de lotus ,\U0001f9d8\U0001f3fe\u200d\u2640\ufe0f,woman in lotus position medium-dark skin tone
🧘🏼‍♀️, femme dans le ton de la peau moyenne lumière position du lotus ,\U0001f9d8\U0001f3fc\u200d\u2640\ufe0f,woman in lotus position medium-light skin tone
🧘🏽‍♀️, femme le teint moyen de position lotus ,\U0001f9d8\U0001f3fd\u200d\u2640\ufe0f,woman in lotus position medium skin tone
👩‍🦽, femme en fauteuil roulant manuel ,\U0001f469\u200d\U0001f9bd,woman in manual wheelchair
👩‍🦼, femme en fauteuil roulant motorisé ,\U0001f469\u200d\U0001f9bc,woman in motorized wheelchair
🧖‍♀️, femme dans la chambre fumants ,\U0001f9d6\u200d\u2640\ufe0f,woman in steamy room
🧖🏿‍♀️, femme dans le ton de la peau chaude et humide chambre sombre ,\U0001f9d6\U0001f3ff\u200d\u2640\ufe0f,woman in steamy room dark skin tone
🧖🏻‍♀️, femme dans la chambre chaude et humide teint clair ,\U0001f9d6\U0001f3fb\u200d\u2640\ufe0f,woman in steamy room light skin tone
🧖🏾‍♀️, femme dans la peau pièce embuée moyen foncé ton ,\U0001f9d6\U0001f3fe\u200d\u2640\ufe0f,woman in steamy room medium-dark skin tone
🧖🏼‍♀️, femme chaude et humide chambre moyenne lumière teint ,\U0001f9d6\U0001f3fc\u200d\u2640\ufe0f,woman in steamy room medium-light skin tone
🧖🏽‍♀️, femme teint moyen de pièce embuée ,\U0001f9d6\U0001f3fd\u200d\u2640\ufe0f,woman in steamy room medium skin tone
👩‍⚖️, femme juge ,\U0001f469\u200d\u2696\ufe0f,woman judge
👩🏿‍⚖️, femme juge carnation foncée ,\U0001f469\U0001f3ff\u200d\u2696\ufe0f,woman judge dark skin tone
👩🏻‍⚖️, femme juge teint lumière ,\U0001f469\U0001f3fb\u200d\u2696\ufe0f,woman judge light skin tone
👩🏾‍⚖️, femme teint moyen foncé juge ,\U0001f469\U0001f3fe\u200d\u2696\ufe0f,woman judge medium-dark skin tone
👩🏼‍⚖️, femme teint moyen-lumière juge ,\U0001f469\U0001f3fc\u200d\u2696\ufe0f,woman judge medium-light skin tone
👩🏽‍⚖️, femme peau moyenne juge ton ,\U0001f469\U0001f3fd\u200d\u2696\ufe0f,woman judge medium skin tone
🤹‍♀️, femme jonglerie ,\U0001f939\u200d\u2640\ufe0f,woman juggling
🤹🏿‍♀️, femme jonglerie teint foncé ,\U0001f939\U0001f3ff\u200d\u2640\ufe0f,woman juggling dark skin tone
🤹🏻‍♀️, w jonglerie oman teint clair ,\U0001f939\U0001f3fb\u200d\u2640\ufe0f,woman juggling light skin tone
🤹🏾‍♀️, femme teint moyen foncé jonglage ,\U0001f939\U0001f3fe\u200d\u2640\ufe0f,woman juggling medium-dark skin tone
🤹🏼‍♀️, femme teint moyen-lumière jongler ,\U0001f939\U0001f3fc\u200d\u2640\ufe0f,woman juggling medium-light skin tone
🤹🏽‍♀️, femme teint moyen de jongler ,\U0001f939\U0001f3fd\u200d\u2640\ufe0f,woman juggling medium skin tone
🏋️‍♀️, femme poids de levage ,\U0001f3cb\ufe0f\u200d\u2640\ufe0f,woman lifting weights
🏋🏿‍♀️, femme poids de levage teint foncé ,\U0001f3cb\U0001f3ff\u200d\u2640\ufe0f,woman lifting weights dark skin tone
🏋🏻‍♀️, femme poids de levage carnation lumière ,\U0001f3cb\U0001f3fb\u200d\u2640\ufe0f,woman lifting weights light skin tone
🏋🏾‍♀️, femme moyenne de poids de levage tonus de la peau -Dark ,\U0001f3cb\U0001f3fe\u200d\u2640\ufe0f,woman lifting weights medium-dark skin tone
🏋🏼‍♀️, femme peau moyenne lumière poids de levage ton ,\U0001f3cb\U0001f3fc\u200d\u2640\ufe0f,woman lifting weights medium-light skin tone
🏋🏽‍♀️, poids de levage femme moyenne teint ,\U0001f3cb\U0001f3fd\u200d\u2640\ufe0f,woman lifting weights medium skin tone
👩🏻, femme teint lumière ,\U0001f469\U0001f3fb,woman light skin tone
🧙‍♀️, femme mage ,\U0001f9d9\u200d\u2640\ufe0f,woman mage
🧙🏿‍♀️, femme mage teint foncé ,\U0001f9d9\U0001f3ff\u200d\u2640\ufe0f,woman mage dark skin tone
🧙🏻‍♀️, femme mage teint lumière ,\U0001f9d9\U0001f3fb\u200d\u2640\ufe0f,woman mage light skin tone
🧙🏾‍♀️, femme mage teint moyen-foncé ,\U0001f9d9\U0001f3fe\u200d\u2640\ufe0f,woman mage medium-dark skin tone
🧙🏼‍♀️, femme mage moyen léger teint ,\U0001f9d9\U0001f3fc\u200d\u2640\ufe0f,woman mage medium-light skin tone
🧙🏽‍♀️, femme mage carnation moyenne ,\U0001f9d9\U0001f3fd\u200d\u2640\ufe0f,woman mage medium skin tone
👩‍🔧, femme mécanicien ,\U0001f469\u200d\U0001f527,woman mechanic
👩🏿‍🔧, femme ton mécanicien peau noire ,\U0001f469\U0001f3ff\u200d\U0001f527,woman mechanic dark skin tone
👩🏻‍🔧, femme teint lumière mécanique ,\U0001f469\U0001f3fb\u200d\U0001f527,woman mechanic light skin tone
👩🏾‍🔧, femme moyenne noir teint mécanique ,\U0001f469\U0001f3fe\u200d\U0001f527,woman mechanic medium-dark skin tone
👩🏼‍🔧, femme teint moyen-lumière mécanique ,\U0001f469\U0001f3fc\u200d\U0001f527,woman mechanic medium-light skin tone
👩🏽‍🔧, femme teint moyen mécanique ,\U0001f469\U0001f3fd\u200d\U0001f527,woman mechanic medium skin tone
👩🏾, femme moyenne noir teint ,\U0001f469\U0001f3fe,woman medium-dark skin tone
👩🏼, femme teint moyen lumière ,\U0001f469\U0001f3fc,woman medium-light skin tone
👩🏽, ton femme peau moyenne ,\U0001f469\U0001f3fd,woman medium skin tone
🚵‍♀️, femme VTT ,\U0001f6b5\u200d\u2640\ufe0f,woman mountain biking
🚵🏿‍♀️, femme VTT teint foncé ,\U0001f6b5\U0001f3ff\u200d\u2640\ufe0f,woman mountain biking dark skin tone
🚵🏻‍♀️, montagne femme vélo carnation lumière ,\U0001f6b5\U0001f3fb\u200d\u2640\ufe0f,woman mountain biking light skin tone
🚵🏾‍♀️, montagne femme vélo teint moyen foncé ,\U0001f6b5\U0001f3fe\u200d\u2640\ufe0f,woman mountain biking medium-dark skin tone
🚵🏼‍♀️, moyenne VTT femme teint -light ,\U0001f6b5\U0001f3fc\u200d\u2640\ufe0f,woman mountain biking medium-light skin tone
🚵🏽‍♀️, femme mo le teint moyen de vélo untain ,\U0001f6b5\U0001f3fd\u200d\u2640\ufe0f,woman mountain biking medium skin tone
👩‍💼, femme employée de bureau ,\U0001f469\u200d\U0001f4bc,woman office worker
👩🏿‍💼, femme employée de bureau teint foncé ,\U0001f469\U0001f3ff\u200d\U0001f4bc,woman office worker dark skin tone
👩🏻‍💼, femme employée de bureau teint lumière ,\U0001f469\U0001f3fb\u200d\U0001f4bc,woman office worker light skin tone
👩🏾‍💼, femme peau moyenne foncé employé de bureau ton ,\U0001f469\U0001f3fe\u200d\U0001f4bc,woman office worker medium-dark skin tone
👩🏼‍💼, femme teint moyen-lumière employé de bureau ,\U0001f469\U0001f3fc\u200d\U0001f4bc,woman office worker medium-light skin tone
👩🏽‍💼, femme teint moyen employé de bureau ,\U0001f469\U0001f3fd\u200d\U0001f4bc,woman office worker medium skin tone
👩‍✈️, femme pilote ,\U0001f469\u200d\u2708\ufe0f,woman pilot
👩🏿‍✈️, femme pilote teint foncé ,\U0001f469\U0001f3ff\u200d\u2708\ufe0f,woman pilot dark skin tone
👩🏻‍✈️, femme pilote teint lumière ,\U0001f469\U0001f3fb\u200d\u2708\ufe0f,woman pilot light skin tone
👩🏾‍✈️, femme teint moyen foncé pilote ,\U0001f469\U0001f3fe\u200d\u2708\ufe0f,woman pilot medium-dark skin tone
👩🏼‍✈️, femme teint moyen-lumière pilote ,\U0001f469\U0001f3fc\u200d\u2708\ufe0f,woman pilot medium-light skin tone
👩🏽‍✈️, femme teint moyen pilote ,\U0001f469\U0001f3fd\u200d\u2708\ufe0f,woman pilot medium skin tone
🤾‍♀️, femme handball de jeu ,\U0001f93e\u200d\u2640\ufe0f,woman playing handball
🤾🏿‍♀️, femme jouant au handball teint foncé ,\U0001f93e\U0001f3ff\u200d\u2640\ufe0f,woman playing handball dark skin tone
🤾🏻‍♀️, femme handball du jeu teint clair ,\U0001f93e\U0001f3fb\u200d\u2640\ufe0f,woman playing handball light skin tone
🤾🏾‍♀️, Joueuse de teint moyen foncé hand-ball ,\U0001f93e\U0001f3fe\u200d\u2640\ufe0f,woman playing handball medium-dark skin tone
🤾🏼‍♀️, femme teint moyen-lumière handball jeu ,\U0001f93e\U0001f3fc\u200d\u2640\ufe0f,woman playing handball medium-light skin tone
🤾🏽‍♀️, femme teint moyen de handball de jeu ,\U0001f93e\U0001f3fd\u200d\u2640\ufe0f,woman playing handball medium skin tone
🤽‍♀️, femme jouer au water-polo ,\U0001f93d\u200d\u2640\ufe0f,woman playing water polo
🤽🏿‍♀️, femme jouer au water-polo noir peau ton ,\U0001f93d\U0001f3ff\u200d\u2640\ufe0f,woman playing water polo dark skin tone
🤽🏻‍♀️, femme jouant eau ton polo peau claire ,\U0001f93d\U0001f3fb\u200d\u2640\ufe0f,woman playing water polo light skin tone
🤽🏾‍♀️, Joueuse de water-polo moyen foncé teint ,\U0001f93d\U0001f3fe\u200d\u2640\ufe0f,woman playing water polo medium-dark skin tone
🤽🏼‍♀️, Joueuse de water-polo moyen léger teint ,\U0001f93d\U0001f3fc\u200d\u2640\ufe0f,woman playing water polo medium-light skin tone
🤽🏽‍♀️, Joueuse de l'eau carnation polo moyenne ,\U0001f93d\U0001f3fd\u200d\u2640\ufe0f,woman playing water polo medium skin tone
👮‍♀️, femme officier de police ,\U0001f46e\u200d\u2640\ufe0f,woman police officer
👮🏿‍♀️, femme officier de police teint foncé ,\U0001f46e\U0001f3ff\u200d\u2640\ufe0f,woman police officer dark skin tone
👮🏻‍♀️, femme teint lumière policier ,\U0001f46e\U0001f3fb\u200d\u2640\ufe0f,woman police officer light skin tone
👮🏾‍♀️, femme me agent de police DIUM foncé teint ,\U0001f46e\U0001f3fe\u200d\u2640\ufe0f,woman police officer medium-dark skin tone
👮🏼‍♀️, femme teint moyen-léger officier de police ,\U0001f46e\U0001f3fc\u200d\u2640\ufe0f,woman police officer medium-light skin tone
👮🏽‍♀️, femme carnation moyenne policier ,\U0001f46e\U0001f3fd\u200d\u2640\ufe0f,woman police officer medium skin tone
🙎‍♀️, femme moue ,\U0001f64e\u200d\u2640\ufe0f,woman pouting
🙎🏿‍♀️, femme moue teint foncé ,\U0001f64e\U0001f3ff\u200d\u2640\ufe0f,woman pouting dark skin tone
🙎🏻‍♀️, femme moue teint lumière ,\U0001f64e\U0001f3fb\u200d\u2640\ufe0f,woman pouting light skin tone
🙎🏾‍♀️, femme peau moyenne noir moue ton ,\U0001f64e\U0001f3fe\u200d\u2640\ufe0f,woman pouting medium-dark skin tone
🙎🏼‍♀️, femme moyenne lumière moue peau ton ,\U0001f64e\U0001f3fc\u200d\u2640\ufe0f,woman pouting medium-light skin tone
🙎🏽‍♀️, femme teint moyen boudeuse ,\U0001f64e\U0001f3fd\u200d\u2640\ufe0f,woman pouting medium skin tone
🙋‍♀️, femme levant la main ,\U0001f64b\u200d\u2640\ufe0f,woman raising hand
🙋🏿‍♀️, femme élevant le teint à la main sombre ,\U0001f64b\U0001f3ff\u200d\u2640\ufe0f,woman raising hand dark skin tone
🙋🏻‍♀️, femme levant la main teint lumière ,\U0001f64b\U0001f3fb\u200d\u2640\ufe0f,woman raising hand light skin tone
🙋🏾‍♀️, femme élevant le teint moyen sombre main ,\U0001f64b\U0001f3fe\u200d\u2640\ufe0f,woman raising hand medium-dark skin tone
🙋🏼‍♀️, femme élevant le teint moyen lumière main ,\U0001f64b\U0001f3fc\u200d\u2640\ufe0f,woman raising hand medium-light skin tone
🙋🏽‍♀️, femme élevant la peau moyenne de la main ton ,\U0001f64b\U0001f3fd\u200d\u2640\ufe0f,woman raising hand medium skin tone
🚣‍♀️, femme bateau d'aviron ,\U0001f6a3\u200d\u2640\ufe0f,woman rowing boat
🚣🏿‍♀️, femme peau bateau noir aviron ton ,\U0001f6a3\U0001f3ff\u200d\u2640\ufe0f,woman rowing boat dark skin tone
🚣🏻‍♀️, femme bateau avec rames carnation lumière ,\U0001f6a3\U0001f3fb\u200d\u2640\ufe0f,woman rowing boat light skin tone
🚣🏾‍♀️, femme peau moyenne noir bateau aviron ton ,\U0001f6a3\U0001f3fe\u200d\u2640\ufe0f,woman rowing boat medium-dark skin tone
🚣🏼‍♀️, femme peau moyenne lumière bateau avec rames ton ,\U0001f6a3\U0001f3fc\u200d\u2640\ufe0f,woman rowing boat medium-light skin tone
🚣🏽‍♀️, femme teint moyen bateau aviron ,\U0001f6a3\U0001f3fd\u200d\u2640\ufe0f,woman rowing boat medium skin tone
🏃‍♀️, femme course ,\U0001f3c3\u200d\u2640\ufe0f,woman running
🏃🏿‍♀️, femme course teint foncé ,\U0001f3c3\U0001f3ff\u200d\u2640\ufe0f,woman running dark skin tone
🏃🏻‍♀️, femme courir le teint clair ,\U0001f3c3\U0001f3fb\u200d\u2640\ufe0f,woman running light skin tone
🏃🏾‍♀️, femme courir le teint moyen foncé ,\U0001f3c3\U0001f3fe\u200d\u2640\ufe0f,woman running medium-dark skin tone
🏃🏼‍♀️, femme courir le teint moyen de lumière ,\U0001f3c3\U0001f3fc\u200d\u2640\ufe0f,woman running medium-light skin tone
🏃🏽‍♀️, femme courir le teint moyen ,\U0001f3c3\U0001f3fd\u200d\u2640\ufe0f,woman running medium skin tone
👩‍🔬, femme scientifique ,\U0001f469\u200d\U0001f52c,woman scientist
👩🏿‍🔬, femme scientifique teint foncé ,\U0001f469\U0001f3ff\u200d\U0001f52c,woman scientist dark skin tone
👩🏻‍🔬, femme scientifique teint lumière ,\U0001f469\U0001f3fb\u200d\U0001f52c,woman scientist light skin tone
👩🏾‍🔬, femme moyenne scientifique carnation -Dark ,\U0001f469\U0001f3fe\u200d\U0001f52c,woman scientist medium-dark skin tone
👩🏼‍🔬, femme scientifique med ium lumière teint ,\U0001f469\U0001f3fc\u200d\U0001f52c,woman scientist medium-light skin tone
👩🏽‍🔬, femme teint moyen scientifique ,\U0001f469\U0001f3fd\u200d\U0001f52c,woman scientist medium skin tone
🤷‍♀️, femme en haussant les épaules ,\U0001f937\u200d\u2640\ufe0f,woman shrugging
🤷🏿‍♀️, femme en haussant les épaules teint foncé ,\U0001f937\U0001f3ff\u200d\u2640\ufe0f,woman shrugging dark skin tone
🤷🏻‍♀️, femme haussant les épaules teint lumière ,\U0001f937\U0001f3fb\u200d\u2640\ufe0f,woman shrugging light skin tone
🤷🏾‍♀️, femme en haussant les épaules teint moyen foncé ,\U0001f937\U0001f3fe\u200d\u2640\ufe0f,woman shrugging medium-dark skin tone
🤷🏼‍♀️, femme haussant les épaules teint moyenne lumière ,\U0001f937\U0001f3fc\u200d\u2640\ufe0f,woman shrugging medium-light skin tone
🤷🏽‍♀️, femme en haussant les épaules carnation moyenne ,\U0001f937\U0001f3fd\u200d\u2640\ufe0f,woman shrugging medium skin tone
👩‍🎤, femme chanteur ,\U0001f469\u200d\U0001f3a4,woman singer
👩🏿‍🎤, femme chanteur teint foncé ,\U0001f469\U0001f3ff\u200d\U0001f3a4,woman singer dark skin tone
👩🏻‍🎤, femme chanteur teint lumière ,\U0001f469\U0001f3fb\u200d\U0001f3a4,woman singer light skin tone
👩🏾‍🎤, femme teint moyen foncé chanteur ,\U0001f469\U0001f3fe\u200d\U0001f3a4,woman singer medium-dark skin tone
👩🏼‍🎤, femme teint moyen-lumière chanteur ,\U0001f469\U0001f3fc\u200d\U0001f3a4,woman singer medium-light skin tone
👩🏽‍🎤, femme carnation moyenne chanteuse ,\U0001f469\U0001f3fd\u200d\U0001f3a4,woman singer medium skin tone
👩‍🎓, femme étudiante ,\U0001f469\u200d\U0001f393,woman student
👩🏿‍🎓, femme carnation étudiant noir ,\U0001f469\U0001f3ff\u200d\U0001f393,woman student dark skin tone
👩🏻‍🎓, femme étudiant teint lumière ,\U0001f469\U0001f3fb\u200d\U0001f393,woman student light skin tone
👩🏾‍🎓, peau étudiant femme mi-noire ton ,\U0001f469\U0001f3fe\u200d\U0001f393,woman student medium-dark skin tone
👩🏼‍🎓, femme teint moyen-lumière étudiant ,\U0001f469\U0001f3fc\u200d\U0001f393,woman student medium-light skin tone
👩🏽‍🎓, femme carnation moyenne étudiante ,\U0001f469\U0001f3fd\u200d\U0001f393,woman student medium skin tone
🏄‍♀️, femme surf ,\U0001f3c4\u200d\u2640\ufe0f,woman surfing
🏄🏿‍♀️, femme teint foncé surf ,\U0001f3c4\U0001f3ff\u200d\u2640\ufe0f,woman surfing dark skin tone
🏄🏻‍♀️, femme surf teint lumière ,\U0001f3c4\U0001f3fb\u200d\u2640\ufe0f,woman surfing light skin tone
🏄🏾‍♀️, femme teint moyen foncé surf ,\U0001f3c4\U0001f3fe\u200d\u2640\ufe0f,woman surfing medium-dark skin tone
🏄🏼‍♀️, femme surf moyen teint clair ,\U0001f3c4\U0001f3fc\u200d\u2640\ufe0f,woman surfing medium-light skin tone
🏄🏽‍♀️, femme teint moyen de surf ,\U0001f3c4\U0001f3fd\u200d\u2640\ufe0f,woman surfing medium skin tone
🏊‍♀️, femme natation ,\U0001f3ca\u200d\u2640\ufe0f,woman swimming
🏊🏿‍♀️, femme natation teint foncé ,\U0001f3ca\U0001f3ff\u200d\u2640\ufe0f,woman swimming dark skin tone
🏊🏻‍♀️, femme natation teint lumière ,\U0001f3ca\U0001f3fb\u200d\u2640\ufe0f,woman swimming light skin tone
🏊🏾‍♀️, femme teint moyen foncé natation ,\U0001f3ca\U0001f3fe\u200d\u2640\ufe0f,woman swimming medium-dark skin tone
🏊🏼‍♀️, femme teint moyen-lumière nage ,\U0001f3ca\U0001f3fc\u200d\u2640\ufe0f,woman swimming medium-light skin tone
🏊🏽‍♀️, femme teint moyen de natation ,\U0001f3ca\U0001f3fd\u200d\u2640\ufe0f,woman swimming medium skin tone
👩‍🏫, femme professeur ,\U0001f469\u200d\U0001f3eb,woman teacher
👩🏿‍🏫, femme professeur teint foncé ,\U0001f469\U0001f3ff\u200d\U0001f3eb,woman teacher dark skin tone
👩🏻‍🏫, femme t ENSEIGNANT teint clair ,\U0001f469\U0001f3fb\u200d\U0001f3eb,woman teacher light skin tone
👩🏾‍🏫, femme professeur moyen foncé teint ,\U0001f469\U0001f3fe\u200d\U0001f3eb,woman teacher medium-dark skin tone
👩🏼‍🏫, femme teint moyen-lumière enseignant ,\U0001f469\U0001f3fc\u200d\U0001f3eb,woman teacher medium-light skin tone
👩🏽‍🏫, femme teint moyen des enseignants ,\U0001f469\U0001f3fd\u200d\U0001f3eb,woman teacher medium skin tone
👩‍💻, femme technologue ,\U0001f469\u200d\U0001f4bb,woman technologist
👩🏿‍💻, femme technologue teint foncé ,\U0001f469\U0001f3ff\u200d\U0001f4bb,woman technologist dark skin tone
👩🏻‍💻, femme technologiste teint lumière ,\U0001f469\U0001f3fb\u200d\U0001f4bb,woman technologist light skin tone
👩🏾‍💻, femme teint moyen foncé technologue ,\U0001f469\U0001f3fe\u200d\U0001f4bb,woman technologist medium-dark skin tone
👩🏼‍💻, femme technologue moyenne lumière teint ,\U0001f469\U0001f3fc\u200d\U0001f4bb,woman technologist medium-light skin tone
👩🏽‍💻, femme teint moyen technologue ,\U0001f469\U0001f3fd\u200d\U0001f4bb,woman technologist medium skin tone
💁‍♀️, femme main basculement ,\U0001f481\u200d\u2640\ufe0f,woman tipping hand
💁🏿‍♀️, femme basculement main teint foncé ,\U0001f481\U0001f3ff\u200d\u2640\ufe0f,woman tipping hand dark skin tone
